Subpasta,Acurácia,Precision,Recall,F1 Score,mAP@50,mAP@50-95
resultado_fold_1,0.7778,0.8235,0.9333,0.875,0.8069,0.7204
resultado_fold_2,0.0,0.0,0.0,0.0,0.0,0.0
resultado_fold_3,0.8475,0.96,0.8727,0.9143,0.9185,0.7888
resultado_fold_4,0.5,0.3784,0.875,0.5283,0.6441,0.5699
resultado_fold_5,0.8,0.8,1.0,0.8889,0.5037,0.4558
Média Geral,0.58506,0.59238,0.7362,0.6413,0.5746399999999999,0.50698
Desvio Padrão,0.35417265281215604,0.3963484855528024,0.4148273677085445,0.39194551279482714,0.3578591594468416,0.3116799833162213
