Subpasta,Acurácia,Precision,Recall,F1 Score,mAP@50,mAP@50-95
resultado_fold_1,0.7253,0.7632,0.6444,0.6988,0.7619,0.6591
resultado_fold_2,0.7528,0.7429,0.6667,0.7027,0.7411,0.6295
resultado_fold_3,0.6737,0.8333,0.4902,0.6173,0.8214,0.6908
resultado_fold_4,0.6277,0.6531,0.64,0.6465,0.8102,0.6673
resultado_fold_5,0.7125,0.7755,0.76,0.7677,0.8195,0.7021
Média Geral,0.6983999999999999,0.7535999999999999,0.6402599999999999,0.6866,0.7908200000000001,0.6697599999999999
Desvio Padrão,0.04870923936995936,0.06545723794967215,0.09691742877315719,0.05787002678416525,0.03688396670641596,0.02841263803310069
