Subpasta,Acurácia,Precision,Recall,F1 Score,mAP@50,mAP@50-95
resultado_fold_5,0.6757,0.7049,0.7049,0.7049,0.6571,0.5637
resultado_fold_4,0.7132,0.726,0.7571,0.7413,0.5331,0.4665
resultado_fold_1,0.7405,0.8,0.6857,0.7385,0.6004,0.5116
resultado_fold_2,0.6835,0.7532,0.6988,0.725,0.6731,0.5759
resultado_fold_3,0.6641,0.6747,0.7778,0.7226,0.6521,0.5469
Média Geral,0.6954,0.7317600000000001,0.72486,0.72646,0.62316,0.5329200000000001
Desvio Padrão,0.031065414853177167,0.04776727959597451,0.04016556983288053,0.014552078889285898,0.057254414676948716,0.044317851933504154
