Subpasta,Acurácia,Precision,Recall,F1 Score,mAP@50,mAP@50-95
resultado_fold_5,0.6752,0.7708,0.5781,0.6607,0.8212,0.6663
resultado_fold_4,0.7286,0.7317,0.7895,0.7595,0.8484,0.7556
resultado_fold_1,0.7259,0.7656,0.6901,0.7259,0.7576,0.6993
resultado_fold_2,0.6712,0.8305,0.5632,0.6712,0.8992,0.8303
resultado_fold_3,0.6571,0.7125,0.6951,0.7037,0.8814,0.798
Média Geral,0.6915999999999999,0.76222,0.6632,0.7041999999999999,0.84156,0.7499
Desvio Padrão,0.03324477402540134,0.045140746560064775,0.09345442739645886,0.040343772753672895,0.0557229575668772,0.06774876382636072
