Subpasta,Acurácia,Precision,Recall,F1 Score,mAP@50,mAP@50-95
resultado_fold_5,0.7391,0.8462,0.7333,0.7857,0.9675,0.9389
resultado_fold_4,0.8333,1.0,0.8182,0.9,0.9712,0.822
resultado_fold_1,1.0,1.0,1.0,1.0,0.8738,0.8185
resultado_fold_2,0.8889,0.9,0.9,0.9,0.8748,0.8378
resultado_fold_3,0.84,0.8182,1.0,0.9,0.8775,0.8315
Média Geral,0.86026,0.91288,0.8902999999999999,0.8971399999999999,0.91296,0.8497399999999999
Desvio Padrão,0.09508492519847718,0.08478827749164386,0.11619991394144834,0.07586763473313243,0.05151119295842409,0.050423734490812944
